query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,02/04/2026,22080809,"1,245.75",FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081449,598.00,DEVON PATHWAYS LTD,383486,392542678,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081454,"3,040.80",PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081455,"2,179.24",PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081495,847.18,DAISY PRE-SCHOOL,40313,,Transformation & Business Services,A62000,Supported Accommodation - Child,R0333026,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081528,"1,946.50",FREDERICK SHERRELL LIMITED,14402,591319333,Capital - Highways,C02011,External Professional Fees,C0671004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081699,"1,105.82",DODDS SOLICITORS LLP,394172,729928286,"Chief Exec, Legal & Democratic services",A44968,Legal & Conveyancing Charges,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081781,"50,000.00",G M CONTRACTORS DEVON LIMITED,294305,875936367,Capital - Highways,C02009,Works,C0652001,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081886,805.64,SUEZ T/A DEVON CONTRACT WASTE LTD,34738,444085847,Transformation & Business Services,A27015,Refuse Collection,R0333026,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
