Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
18,Devon County Council,01/05/2026,22089421,"9,600.00",MOOR TO LIFE E & W COMMUNITY INTEREST COMPANY,393010,,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090346,"18,544.00",EVERGREEN SERVICES (DEVON) LIMITED,360540,245640215,Children's Social Care,A20010,"Property Repairs, Maintenance & Alterations (Reactive)",R0095003,DCC CIS Suppliers
18,Devon County Council,01/05/2026,22090412,"270,257.00",Exeter College (Exeter and North Devon Colleges Group),6141,125451632,Capital - SEND Schools,C02009,Works,C0660001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22092905,"105,524.19",D W M L HOLDINGS LIMITED,345026,823821047,"Transport Operations, Environment and Waste",A46100,Main / Term Contractor,R0597001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094361,"64,072.73",M Group Highways Limited,375383,927200546,"Capital - Planning, Transportation and Environment",C02009,Works,C0654001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094498,"111,150.00",MID DEVON DISTRICT COUNCIL,19708,142203912,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094555,"12,283.33",TOTNES INDEPENDENT SCHOOL,320930,481548763,Dedicated Schools Grant,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22082220,"11,826.66",Groundwork South Trust,603975,,"Transport Operations, Environment and Waste",A44065,Consultancy Services,R0579007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22088008,715,Youth Arts and Health Trust,340754,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22088521,"18,270.75",WESTBANK COMMUNITY HEALTH & CARE,65217,277497150,P-Ledger - Separate Legal Entity,A62110,Payments to Charities & Vol Providers,P0391004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090215,"1,100.00",TRANSOFT SOLUTIONS (UK) LIMITED,384169,708697590,Highways & Infrastructure Development,A40075,Road & Other Signs,R0567002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090292,"1,729.15",TAVYSIDE HEALTH CENTRE,266516,978506863,Children's Social Care,A20005,"Property Repairs, Maintenance & Alterations (programmed)",R0028001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090297,900,UX2 LIMITED,388014,235329022,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22088768,"1,535.14",CARRICK SPORTS CONSTRUCTION LIMITED,600550,292330609,"Capital - Planning, Transportation and Environment",C02009,Works,C0671003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090205,930,ESSENTIAL 6 LIMITED,219393,941534529,Children's Social Care,A44175,Training/Workshops - Non Staff,R0095007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090329,"3,571.14",TEIGNBRIDGE DISTRICT COUNCIL,4872,142214023,Communities,A52005,Payments to Other Local Authorities,R0530002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090455,"4,219.00",PAY.UK LIMITED,393156,317649482,People and Culture,A44038,Fees,R0502002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090655,"26,573.28",CLEANSING SERVICE GROUP LIMITED,18365,369922701,"Transport Operations, Environment and Waste",A46100,Main / Term Contractor,R0601001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090855,"1,584.13",F W A G SOUTH WEST,316031,127629304,"Transport Operations, Environment and Waste",A44038,Fees,R0644001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22091145,885,DR SHARON MAYER,351898,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094236,"3,694.81",IMC Analysts LLP,313069,,Operations,A44038,Fees,R0222002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094239,"1,962.96",IMC Analysts LLP,313069,,Operations,A44038,Fees,R0222002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094402,"1,397.84",ACTION FOR CHILDREN,86729,589629566,Children's Social Care,A61044,Residential Short Breaks,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094482,"86,520.00",EAST DEVON DISTRICT COUNCIL (GEN ACCOUNT),96091,142218990,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094483,"70,240.00",EXETER CITY COUNCIL (FINANCE),4272,142335594,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094504,"80,310.00",NORTH DEVON COUNCIL (AC 03953785),326313,144711092,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094506,"39,030.00",SOUTH HAMS DISTRICT COUNCIL,8255,142204125,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22087191,"41,346.49",MAGDALEN COURT SCHOOL,228429,479823044,Dedicated Schools Grant,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090335,"1,297.50",WESTPOINT CENTRE (DEVON) LIMITED,6392,585601525,Inclusion & Learning,A41905,Catering,R0029016,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090343,"4,541.67",DSI BILLING SERVICES LIMITED,338643,739980671,Public Health Nursing,A49105,Other Supplies & Services,R0019003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090366,"2,918.56",VALLEY MOBILITY SERVICES LIMITED,87203,728762990,P-Ledger - Separate Legal Entity,A61054,Equipment (Care),P0391002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090673,900,NeuroConnect CIC,382604,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22090847,"28,667.00","BOURNEMOUTH, CHRISTCHURCH AND",38627,313088034,P-Ledger - Separate Legal Entity,A52005,Payments to Other Local Authorities,P0432006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22091340,500,DIAMOND CARE 2000 LIMITED,88681,,Operations,A61045,Personal Allowance,R0227012,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22091766,"1,225.75",TUTORS AND EXAMS LIMITED,383959,306959378,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22093950,741.6,TUBERS ACADEMY LIMITED,348033,300702466,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094080,592.15,MEENA ENTERPRISES LIMITED,360477,,Operations,A44038,Fees,R0222002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094315,759.14,Youth Arts and Health Trust,340754,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094512,"13,650.00",WEST DEVON BOROUGH COUNCIL,8280,144823273,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094562,"3,451.47",TOTNES INDEPENDENT SCHOOL,320930,481548763,Dedicated Schools Grant,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094578,669.3,PLATINUM PROFESSIONAL (SOUTH WEST) LIMITED,266082,993189074,Operations,A40080,Health & Safety Equipment,R0268001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090307,"12,092.66",KEYCHANGE ROSE LAWN SIDMOUTH,90174,,Children's Social Care,A62000,Supported Accommodation - Child,R0026003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090309,"2,400.00",G R K FLOOD DEFENCE,327597,152652714,"Capital - Planning, Transportation and Environment",C02009,Works,C0671012,DCC CIS Suppliers
18,Devon County Council,05/05/2026,22090618,"1,988.68",NORSE SOUTH WEST LIMITED,279741,785421021,Finance & Public Value,A46100,Main / Term Contractor,R0202001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090636,"5,768.69",NORSE SOUTH WEST LIMITED,279741,785421021,"Capital - Economy, Enterprise & Skills",C02011,External Professional Fees,C0648001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090643,"4,032.90",NORSE SOUTH WEST LIMITED,279741,785421021,Finance & Public Value,A46100,Main / Term Contractor,R0202001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090857,"6,070.00",North Devon College (Exeter and North Devon Colleges Group),603346,125451632,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090906,"621,316.63",MILLBROOK HEALTHCARE LIMITED,117031,675991080,P-Ledger - Separate Legal Entity,A61054,Equipment (Care),P0391002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22090990,"2,000.00",NEW ROOTS WORKSHOP COMMUNITY INTEREST COMPANY,397830,,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22091025,530.11,CIVIL SOLUTIONS LIMITED,100386,760477419,Highways & Infrastructure Development,A49005,Other Hired & Contracting Services,R0557017,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22091026,"4,700.00",SMARTSURVEY LIMITED,203950,840574625,Transformation & Business Services,A45040,IT Software,R0353008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22091050,"1,000.00",EXETER CITY COMMUNITY TRUST,102760,,Inclusion & Learning,A47005,"Grants, Contributions & Donations",R0029011,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22091730,756,OCEAN HEALTHCARE (TRADING AS TAHER LIMITED),346692,776836374,Children's Social Care,A61200,Community based care,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,05/05/2026,22092542,"2,160.00",EXETER CITY COMMUNITY TRUST,102760,,Communities,A44038,Fees,R0536008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094508,"45,210.00",TEIGNBRIDGE DISTRICT COUNCIL,4872,142214023,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2026,22094510,"31,740.00",TORRIDGE DISTRICT COUNCIL,4707,144666062,Communities,A52005,Payments to Other Local Authorities,R0530010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
