Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,01/08/2016,CFADDOM32809592,REDACTED UNDER DP ACT,549.12,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809594,REDACTED UNDER DP ACT,1819.68,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809595,REDACTED UNDER DP ACT,913.92,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809596,REDACTED UNDER DP ACT,1126.08,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809600,REDACTED UNDER DP ACT,612,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809602,REDACTED UNDER DP ACT,720.72,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809603,REDACTED UNDER DP ACT,960.96,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809604,REDACTED UNDER DP ACT,571.2,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809607,REDACTED UNDER DP ACT,737.88,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809609,REDACTED UNDER DP ACT,734.4,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809612,REDACTED UNDER DP ACT,1235.52,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809615,REDACTED UNDER DP ACT,617.76,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809621,REDACTED UNDER DP ACT,897.6,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809623,REDACTED UNDER DP ACT,518.16,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,01/08/2016,CFADDOM32809624,REDACTED UNDER DP ACT,549.12,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
