Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,
18,Devon County Council,12/01/2011,CFADRES19020798,REDACTED UNDER DP ACT,1424.00,18 MARINE PARADE,265062,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,26/01/2011,CFADRES19021465,REDACTED UNDER DP ACT,1424.00,18 MARINE PARADE,265062,,Adult & Community Services,Residential Care Spot,7401,
18,Devon County Council,05/01/2011,CFADDOM18990199,REDACTED UNDER DP ACT,746.90,1ST CALL HOMECARE LTD,87025,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,05/01/2011,CFADDOM18990226,REDACTED UNDER DP ACT,846.72,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,05/01/2011,CFADDOM18990227,REDACTED UNDER DP ACT,846.72,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991767,REDACTED UNDER DP ACT,839.16,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991768,REDACTED UNDER DP ACT,635.04,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991772,REDACTED UNDER DP ACT,514.08,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991779,REDACTED UNDER DP ACT,1693.44,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991781,REDACTED UNDER DP ACT,619.92,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991782,REDACTED UNDER DP ACT,627.48,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991795,REDACTED UNDER DP ACT,1001.70,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991799,REDACTED UNDER DP ACT,635.04,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991803,REDACTED UNDER DP ACT,1606.50,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991809,REDACTED UNDER DP ACT,748.44,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,26/01/2011,CFADDOM18991810,REDACTED UNDER DP ACT,574.56,1ST REACT HEALTHCARE,107861,,Adult & Community Services,Dom Care Spot,7201,
18,Devon County Council,11/01/2011,YOUTHMID19645308,061010,868.00,2BU PRODUCTIONS LTD,267667,,Children & Younger Persons,Misc Other,8199,
18,Devon County Council,27/01/2011,DHRP19158034,PRI024940,2710.00,2E2 UK LTD,238779,645960019,Corporate Resources,Licence Fees,4808,
18,Devon County Council,14/01/2011,SATSEQP19650865,CM310125,614.70,2SIMPLE SOFTWARE LTD,79296,752127253,Children & Younger Persons,ICT/SEN Equipment,4252,
18,Devon County Council,13/01/2011,EXCHEQ19298581,ALE100561903,1276.60,3 FOR BUSINESS,229134,760729222,Children & Younger Persons,It Equip & Software & Related Exp,4202,
18,Devon County Council,13/01/2011,EXCHEQ19298582,ALE100562826,765.96,3 FOR BUSINESS,229134,760729222,Children & Younger Persons,It Equip & Software & Related Exp,4202,
18,Devon County Council,10/01/2011,EXCHEQ19296739,20294163,569.14,3663  (IVYBRIDGE),16295,643994692,Children & Younger Persons,Provisions,4414,
18,Devon County Council,11/01/2011,FINEXEAD19399245,202999936,589.71,3663  (IVYBRIDGE),16295,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,12/01/2011,FINEAAD19398934,20292759,515.04,3663  (IVYBRIDGE),16295,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,12/01/2011,FINEAAD19398938,20299781,528.26,3663  (IVYBRIDGE),16295,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,24/01/2011,FINEXEAD19399389,20311217,515.41,3663  (IVYBRIDGE),16295,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,25/01/2011,FINEAAD19399022,20304440,512.48,3663  (IVYBRIDGE),16295,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,04/01/2011,FINMDAD19399601,20284705,631.45,3663 (SCARISBRICK),6550,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,04/01/2011,FINSWAD19423338,20297599,867.08,3663 (SCARISBRICK),6550,643994692,Adult & Community Services,Provisions,4451,
18,Devon County Council,07/01/2011,FINNDAD19411226,20298959,507.50,3663 (SCARISBRICK),6550,643994692,Adult & Community Services,Provisions,4451,
