Body,Name of  Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,03/10/2012,CFADRES30069157,REDACTED UNDER DP ACT,1424,18 MARINE PARADE,265062,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/10/2012,CFADRES30069829,REDACTED UNDER DP ACT,1424,18 MARINE PARADE,265062,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,31/10/2012,CFADRES30070507,REDACTED UNDER DP ACT,1424,18 MARINE PARADE,265062,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,03/10/2012,CFADRES30068974,REDACTED UNDER DP ACT,8873.7,AARON COURT,173212,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/10/2012,CFADRES30069648,REDACTED UNDER DP ACT,6280.84,AARON COURT,173212,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,31/10/2012,CFADRES30070325,REDACTED UNDER DP ACT,6280.84,AARON COURT,173212,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,03/10/2012,CFADRES30069244,REDACTED UNDER DP ACT,7684.12,ABBEYFIELD - SHANDFORD,292973,231972268,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/10/2012,CFADRES30069916,REDACTED UNDER DP ACT,7684.12,ABBEYFIELD - SHANDFORD,292973,231972268,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,31/10/2012,CFADRES30070594,REDACTED UNDER DP ACT,7684.12,ABBEYFIELD - SHANDFORD,292973,231972268,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,23/10/2012,FINSSCW30457905,12,1251.89,ABBEYFIELD - SHANDFORD,292973,231972268,People Services,Contributions to other agencies (3rd),5801,B
18,Devon County Council,03/10/2012,CFADRES30068634,REDACTED UNDER DP ACT,4288.48,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/10/2012,CFADRES30069310,REDACTED UNDER DP ACT,4288.48,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,People Services,Care Spot - Private (3rd),5701,B
