Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,01/02/2018,P2P40063768,104614,491.76,ASSOCIATED DRILLING SERVICES,19628,568946082,Highways & Capital Development & Waste Management,Professional Fees,4306,BUSN
18,Devon County Council,01/02/2018,P2P40062457,3836,3057.18,BRIEF,110163,587102437,Adult Care & Health,Professional Fees,4306,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765734,51513,660,DARTLINE COACHES,11216,456125651,Children's Services,Hire of Vehicles (Non TCS),3501,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765835,51542,625,DARTLINE COACHES,11216,456125651,Children's Services,Hire of Vehicles (Non TCS),3501,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765662,SLA 17/267,780,EXETER DIOCESAN BOARD OF FINANCE,23047,831899000,Children's Services,Curriculum Support (Schools),4376,BUSN
18,Devon County Council,01/02/2018,HQ33872435,1718725,1135,F W A G SOUTH WEST,316031,127629304,"Community, Health, Environment & Prosperity",Other Fees & Charges (Expenditure),4311,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765437,INV-0002,1420,FUN KITCHEN T/A FOOD SOLUTIONS,349796,,Children's Services,Other professional Services Schools,4377,BUSN
18,Devon County Council,01/02/2018,P2P40063897,SI0000003897,7253.28,GUINNESS CARE & SUPPORT,34218,603998709,Adult Care & Health,Care Block - Private (3rd),5702,BUSN
18,Devon County Council,01/02/2018,P2P40064014,SI0000004219,18498.57,GUINNESS CARE & SUPPORT,34218,603998709,Adult Care & Health,Care Block - Private (3rd),5702,BUSN
18,Devon County Council,01/02/2018,P2P40063899,SI0000003790,816.25,GUINNESS CARE & SUPPORT,34218,603998709,Adult Care & Health,Payments to Charities & Vol Providers,4902,BUSN
18,Devon County Council,01/02/2018,P2P40063944,1008229627,508.48,HAYS RECRUITMENT,233209,773695871,Children's Services,External Agency Staff,4321,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765801,1008269287,1049.6,HAYS RECRUITMENT,233209,773695871,Children's Services,External Agency Staff,4321,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765617,1008249618,839.68,HAYS RECRUITMENT,233209,773695871,Children's Services,External Agency Staff,4321,BUSN
18,Devon County Council,01/02/2018,P2P40063579,41131331,3569.34,LIVEWELL SOUTH WEST CIC,337747,120536356,Adult Care & Health,Grants & Cont to Health Auth (3rd),5301,BUSN
18,Devon County Council,01/02/2018,P2P40063580,41131330,3062.35,LIVEWELL SOUTH WEST CIC,337747,120536356,Adult Care & Health,Grants & Cont to Health Auth (3rd),5301,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765692,14117,1544,MOORLAND FIRST AID,253862,,Children's Services,Training,1802,BUSN
18,Devon County Council,01/02/2018,P2P40062874,011628,2318.12,NORTH DEVON +,15728,926727693,"Community, Health, Environment & Prosperity",Other Contractors (not Main / Term),4302,BUSN
18,Devon County Council,01/02/2018,EDUC33652642,28008,2000,P C CONSULTANTS (EDUCATION),253762,,Children's Services,Other professional Services Schools,4377,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765554,423063-F,550,PREMIER SPORT (SHROPHAM),200173,150205953,Children's Services,Clubs and Other Expenditure,4332,BUSN
18,Devon County Council,01/02/2018,P2P40062648,STC-80142,2580,SYTECH,347347,687612302,"Community, Health, Environment & Prosperity",Other Fees & Charges (Expenditure),4311,BUSN
18,Devon County Council,01/02/2018,EXCHEQ33765670,10523,700,T K PLAY,274034,939190006,Children's Services,Other Building Maintenance,2251,BUSN
18,Devon County Council,01/02/2018,P2P40062450,INV/VH8,1358.33,DEVON CHAMBERS,337021,198466153,Children's Services,Legal Fees & Disbursements,4314,CHAM
