Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
01/04/2019,CFADDAY34045396,REDACTED UNDER DP ACT,2242.52,DEVON SHELTERED HOMES TRUST,16142,441253775,Adult Care & Health,Individualised Support - Private (3rd),5706,B
01/04/2019,CFADDAY34045397,REDACTED UNDER DP ACT,2711.52,DEVON SHELTERED HOMES TRUST,16142,441253775,Adult Care & Health,Individualised Support - Private (3rd),5706,B
01/04/2019,CFADDAY34045398,REDACTED UNDER DP ACT,2912.52,DEVON SHELTERED HOMES TRUST,16142,441253775,Adult Care & Health,Individualised Support - Private (3rd),5706,B
01/04/2019,CFADDAY34045399,REDACTED UNDER DP ACT,2449.2,DEVON SHELTERED HOMES TRUST,16142,441253775,Adult Care & Health,Individualised Support - Private (3rd),5706,B
01/04/2019,CFADDAY34045405,REDACTED UNDER DP ACT,9741.36,GUINNESS CARE & SUPPORT,34218,603998709,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045417,REDACTED UNDER DP ACT,803.84,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045422,REDACTED UNDER DP ACT,1000.8,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045428,REDACTED UNDER DP ACT,900.72,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045430,REDACTED UNDER DP ACT,1044.08,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045435,REDACTED UNDER DP ACT,800.64,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045438,REDACTED UNDER DP ACT,707.28,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045441,REDACTED UNDER DP ACT,1296.68,HEADWAY DEVON,47519,,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045443,REDACTED UNDER DP ACT,3657.4,SENSE,76729,524704461,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045444,REDACTED UNDER DP ACT,4147.4,SENSE,76729,524704461,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045445,REDACTED UNDER DP ACT,4496.96,SENSE,76729,524704461,Adult Care & Health,Care Spot - Private (3rd),5701,BUSN
01/04/2019,CFADDAY34045446,REDACTED UNDER DP ACT,3133.24,SENSE,76729,524704461,Adult Care & Health,Care Spot - Private (3rd),5701,BUSN
01/04/2019,CFADDAY34045447,REDACTED UNDER DP ACT,734.48,SENSE,76729,524704461,Adult Care & Health,Care Spot - Private (3rd),5701,BUSN
01/04/2019,CFADDAY34045448,REDACTED UNDER DP ACT,1608.64,SENSE,76729,524704461,Adult Care & Health,Care Spot - Private (3rd),5701,BUSN
01/04/2019,CFADDAY34045449,REDACTED UNDER DP ACT,1909.32,SENSE,76729,524704461,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
01/04/2019,CFADDAY34045450,REDACTED UNDER DP ACT,2463.36,SENSE,76729,524704461,Adult Care & Health,Care Spot - Private (3rd),5701,BUSN
01/04/2019,CFADDAY34045451,REDACTED UNDER DP ACT,613.76,SENSE,76729,524704461,Adult Care & Health,Individualised Support - Private (3rd),5706,BUSN
