Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,Vat Reg No,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,2019-10-01 00:00:00,ACHMH34500125,3785,572.56,STEP ONE,27095,,Adult Care & Health,Individualised Support - Private (3rd),5706,LTD
18,Devon County Council,2019-10-01 00:00:00,ACHMH34500126,3504,639.92,STEP ONE,27095,,Adult Care & Health,Individualised Support - Private (3rd),5706,LTD
18,Devon County Council,2019-10-01 00:00:00,ACOH34501112,1197,19592.52,PHOENIX LEARNING & CARE LTD,100780,,Adult Care & Health,Care Spot - Private (3rd),5701,B
18,Devon County Council,2019-10-01 00:00:00,BSS34502051,S O D300919,5800,REDACTED UNDER DP ACT,358334,,Corporate Services,Miscellaneous expenditure,4901,INDV
18,Devon County Council,2019-10-01 00:00:00,CAPEYS34505935,EYP000000155315,1504.3,MANDYS RAGAMUFFINS,149729,,Children's Services,"Grants & Cont to Vol, comm & soc ent",5501,EY
18,Devon County Council,2019-10-01 00:00:00,CAPEYS34505936,EYP000000155317,530.4,EDGE,338944,,Children's Services,"Grants & Cont to Vol, comm & soc ent",5501,EY
18,Devon County Council,2019-10-01 00:00:00,CAPEYS34505940,EYP000000155321,612,"PHILLIPS, NICOLA",355023,,Children's Services,"Grants & Cont to Vol, comm & soc ent",5501,SOLE
18,Devon County Council,2019-10-01 00:00:00,CAPEYS34505941,EYP000000155322,1254.6,EXWICK ARK LTD THE,174565,,Children's Services,"Grants & Cont to Vol, comm & soc ent",5501,LTD
18,Devon County Council,2019-10-01 00:00:00,CAPEYS34505942,EYP000000155323,1448.4,TINY TOTS PRIVATE PRE-SCHOOL,66891,,Children's Services,"Grants & Cont to Vol, comm & soc ent",5501,EY
18,Devon County Council,2019-10-01 00:00:00,CDWM34511441,BPO8762116,5129.33,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Spending,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,2019-10-01 00:00:00,CDWM34511446,BPO8781090,9025.51,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Spending,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,2019-10-01 00:00:00,CFBOUT18003303,REDACTED UNDER DP ACT,-9321.88,REDACTED UNDER DP ACT,303191,,Children's Services,Cl-Supported Accom-Rel Child (3rd),5771,INDV
18,Devon County Council,2019-10-01 00:00:00,CFBOUT34602183,REDACTED UNDER DP ACT,645.89,REDACTED UNDER DP ACT,170949,,Children's Services,Incidental costs Fostered Children (3rd),5715,INDV
18,Devon County Council,2019-10-01 00:00:00,CFBOUT34602195,REDACTED UNDER DP ACT,987.21,REDACTED UNDER DP ACT,181182,,Children's Services,Carer Support Group Fee,5743,INDV
18,Devon County Council,2019-10-01 00:00:00,CFBOUT34602211,REDACTED UNDER DP ACT,1025.35,REDACTED UNDER DP ACT,194330,,Children's Services,Basic Weekly Allowance,5742,INDV
18,Devon County Council,2019-10-01 00:00:00,CFBOUT34602250,REDACTED UNDER DP ACT,1104.09,REDACTED UNDER DP ACT,237610,,Children's Services,Weekly Allowances,5712,INDV
18,Devon County Council,2019-10-01 00:00:00,CFBOUT34602285,REDACTED UNDER DP ACT,748.16,REDACTED UNDER DP ACT,266217,,Children's Services,Carer Support Group Fee,5743,INDV
18,Devon County Council,2019-10-01 00:00:00,CFBOUT34602310,REDACTED UNDER DP ACT,1040.3,REDACTED UNDER DP ACT,280456,,Children's Services,Special Gaurdianship Service,5713,INDV
