Body ,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,02/12/2019,ACHMH18000041,CORE & 1:1,-3524,LIFEWAYS COMMUNITY CARE LTD (NEW,96733,915896970,Adult Care & Health,Individualised Support - Private (3rd),5706,B
18,Devon County Council,02/12/2019,BSS34502059,INV-0070,11797.29,TRUEWIND UK LTD,358468,259614575,Capital Expenditure,ICT Software Licenses - life > 3yrs,C702,LTD
18,Devon County Council,02/12/2019,CDWM34511584,BPO1119002,1100.58,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511585,BPO1119006,2306.55,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511587,BPO1119018,1404.25,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511588,BPO1119022,17372.85,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511594,BPO1119034,4404.96,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511595,BPO1119035,2375.05,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511596,BPO1119038,21309.32,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511597,BPO1119039,9992.4,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
18,Devon County Council,02/12/2019,CDWM34511598,BPO1119040,11076.38,JACOBS UK LTD_(GLASGOW),212571,624298920,Capital Expenditure,Infrastructure - Jacobs design,C401,LTD
