Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Creditor type
18,Devon County Council,29/05/2025,22008553,686.26,THORNBURY NURSING SERVICES LIMITED,270465,676285493,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,28/05/2025,22006481,702.66,OCEAN HEALTHCARE,371633,776836374,Integrated Adult Social Care,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/05/2025,22002774,748.00,PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,22/05/2025,22002829,748.00,PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,19/05/2025,22004467,"1,017.26",NEWCROSS HEALTHCARE SOLUTIONS,179077,445743968,Integrated Adult Social Care,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,29/05/2025,22008551,"1,138.24",THORNBURY NURSING SERVICES LIMITED,270465,676285493,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,29/05/2025,22008549,"1,215.36",THORNBURY NURSING SERVICES LIMITED,270465,676285493,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,19/05/2025,22006600,"1,282.73",NEWCROSS HEALTHCARE SOLUTIONS,179077,445743968,Integrated Adult Social Care,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,15/05/2025,22001815,"1,428.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/05/2025,22005202,"1,428.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,21/05/2025,22004428,"1,446.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,22/05/2025,22005201,"1,564.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,13/05/2025,22002850,"1,768.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/05/2025,22004416,"2,142.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,22/05/2025,22007118,"2,414.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/05/2025,22007130,"2,992.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,15/05/2025,22001816,"3,909.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,21/05/2025,22004428,"3,909.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,12/05/2025,22002825,"3,910.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/05/2025,22002768,"5,049.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,27/05/2025,22007133,"5,207.50",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,20/05/2025,22005226,"7,164.50",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
