Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,02/03/2026,22074502, 519.89 ,TRIP COMMUNITY TRANSPORT ASSOCIATION,21790,989488523,P-Ledger - Separate Legal Entity,Equipment (Care),A61054,P0391002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072082, 522.50 ,Disability Together,140334,436098381,Commissioning,Payments to Charities & Vol Providers,A62110,R0218002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072271, 524.50 ,JO PULLIN,396604,,"Transport Operations, Environment and Waste",Fees,A44038,R0643001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22071904, 539.00 ,LEX LEISURE LIMITED,61902,268089267,Communities,Hire of Rooms,A22010,R0536007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22069603, 552.51 ,NORSE SOUTH WEST LIMITED,279741,785421021,"Economy, Enterprise and Skills",Main / Term Contractor,A46100,R0540003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22064221, 578.29 ,I J Cannings & Son Limited,14467,192803203,Transformation & Business Services,"Property Repairs, Maintenance & Alterations (Reactive)",A20010,R0333026,DCC CIS Suppliers
18,Devon County Council,02/03/2026,22074494, 600.00 ,IAN DARCY at DEVON CHAMBERS,602002,,"Chief Exec, Legal & Democratic services",Legal & Conveyancing Charges,A44968,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072145, 642.00 ,THE BUSINESS SUPPLIES GROUP,391185,422348418,Operations,Equipment,A40920,R0244004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22073116, 670.00 ,Wood Brothers Travel Ltd,4702,,Highways & Infrastructure Development,Fees,A44038,R0557044,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22071950, 691.60 ,INSTARMAC GROUP PLC,302188,295973982,Highways & Infrastructure Development,Stock Materials,A40070,R0554004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072539, 695.00 ,St Thomas Training Ltd,600178,130660644,P-Ledger - Separate Legal Entity,Fees,A44038,P0425001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072540, 695.00 ,St Thomas Training Ltd,600178,130660644,People and Culture,Fees,A44038,R0303008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22077500, 700.00 ,Nest Rooms Ltd,602096,,2024/25 Children's Social Care,Building Rents,A22005,R0444014,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22077539, 728.00 ,Clara's Cattery,602903,,Mental Health,Other Supplies & Services,A49105,R0256001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22073137, 800.00 ,SDC Surveyors Ltd,376965,491672365,Other PH Services,Fees,A44038,R0548001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22077223, 810.88 ,PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,Bought in Professnl Servs-Curric,A49006,R0107001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22070917, 878.63 ,SME HCI LIMITED TRADING AS VIVUP,397379,477991617,People and Culture,Other Supplies & Services,A49105,R0502001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072815, 892.80 ,WESTCOUNTRY WOODLAND & E M LIMITED,377304,426201240,Highways & Infrastructure Development,Other Hired & Contracting Services,A49005,R0557018,DCC CIS Suppliers
18,Devon County Council,02/03/2026,22071798, 900.00 ,VELOCITY WEB,382769,394004114,"Transport Operations, Environment and Waste",Fees,A44038,R0611003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072580, 935.00 ,TRADING STANDARDS SOUTH WEST COMMUNITY INTEREST COMPANY,350412,291165695,Other PH Services,Staff Training Expenses - Non Payroll,A16015,R0548001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22074506, 958.37 ,ADDICOTT ELECTRICS LIMITED,16451,320978941,Inclusion & Learning,"Property Repairs, Maintenance & Alterations (programmed)",A20005,R0102001,DCC CIS Suppliers
18,Devon County Council,02/03/2026,22076132," 1,008.00 ",WALES & WEST UTILITIES LIMITED,178421,851008849,Capital other - Digital Technology & Business Services,Works,C02009,C0651001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22071975," 1,044.00 ",HAMERVILLE MEDIA GROUP LIMITED,359911,196870117,P-Ledger - Separate Legal Entity,Promotions and Events,A44942,P0414001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/03/2026,22072542," 1,080.00 ",TEAM EDUCATE LIMITED BACS,374563,336808777,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
