 Body , Name of Body , Date , Transaction No , Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
18,Devon County Council,01/07/2026,101316,"-1,440.00 ",TRUSTED CARE SOUTH WEST LIMITED,385820,0,Braunton & Ilfracombe (Older People),A49202,In House Management Fees,R0482036,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,03/07/2026,101333,"-31,539.83 ",IAN WILLIAMS LIMITED,157927,137879028,Environment Capital,C02009,Works,C0649001,DCC CIS Suppliers
18,Devon County Council,28/07/2026,22003549,"-7,640.00 ",HARTPURY UNIVERSITY,397894,655756204,Post 16 SEN FE Colleges,A53040,Contributions to Educational Estabs (3rd,R0105001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,28/07/2026,22013353,"-3,895.00 ",MARTIN PEARS ENGINEERING LIMITED,400456,889857722,Highways Asset Management Capital,C02048,Replacement - Other contracts,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,28/07/2026,22035623,"-42,198.00 ",ADOPTERS FOR ADOPTION,372148,945693968,ASW Interagency Fees,A61060,Support for Children in Care,P0432006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/07/2026,22038611," 1,925.84 ",PROSPERO RECRUITMENT LIMITED,352539,486704947,Tutoring - specialist provision,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/07/2026,22038613," 1,900.50 ",PROSPERO RECRUITMENT LIMITED,352539,486704947,Tutoring - specialist provision,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,06/07/2026,22042593,-500.00 ,DARTMOUTH TOWN COUNCIL,20510,402240615,Devon Registration Services,A22010,Hire of Rooms,R0278001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,16/07/2026,22068512," 23,727.77 ",CAMBIAN CHILDCARE LIMITED,299178,190023541,ISP Sole Funded,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,08/07/2026,22076399," 6,220.00 ",RUDDLESDEN GEOTECHNICAL LIMITED,195611,834709611,Disposals Holding Account,A44038,Fees,R0208005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/07/2026,22078809, 700.00 ,Q A LIMITED,245819,864455303,"Transition, Operations, Performance Teams",A44175,Training/Workshops - Non Staff,R0361009,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/07/2026,22082474," 2,500.00 ",Q A LIMITED,245819,864455303,Management Information Team 3,A44175,Training/Workshops - Non Staff,R0700006,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/07/2026,22084375," 2,027.20 ",PROSPERO RECRUITMENT LIMITED,352539,486704947,Tutoring - specialist provision,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,30/07/2026,22086710," 1,440.00 ",NORSE SOUTH WEST LIMITED,279741,785421021,Disposals Holding Account,A44038,Fees,R0208005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,30/07/2026,22086778," 2,000.00 ",NORSE SOUTH WEST LIMITED,279741,785421021,Disposals Holding Account,A44038,Fees,R0208005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,30/07/2026,22087502, 542.29 ,NORSE SOUTH WEST LIMITED,279741,785421021,Disposals Holding Account,A44038,Fees,R0208005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,02/07/2026,22088202," 2,388.00 ",DEVON PATHWAYS LTD,383486,392542678,Tutoring - specialist provision,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,07/07/2026,22089137,"-10,028.40 ",LOCAL GOVERNMENT ASSOCIATION,308865,676078107,Peninsula Pensions,A47010,Subscriptions,R0493001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/07/2026,22090209," 5,076.12 ",ORCHARD SATURDAY CLUB,98347,0,DCS Community & Residential Care,A61200,Community based care,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,10/07/2026,22093855," 8,988.17 ",Enerveo Limited,14967,382894546,Integrated Public Transport Capital,C02009,Works,C0671011,DCC CIS Suppliers
18,Devon County Council,13/07/2026,22095042," 1,778.32 ",UNIVERSITY OF EXETER-FINANCE OFF,4630,142047795,Education Psychology - Central Costs,A12510,Other Employee Expenses,R0061001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,08/07/2026,22095255, 598.00 ,DEVON PATHWAYS LTD,383486,392542678,AP Other Provision,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,07/07/2026,22095693," 4,560.00 ",HORWOOD COOMBE INSPIRE LIMITED,315946,481864066,AP Other Provision,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,07/07/2026,22095849," 2,042.45 ",SPECIAL PARTNERSHIP TRUST,367681,0,Devon Special School Heads,A53040,Contributions to Educational Estabs (3rd,R0041003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/07/2026,22095850," 1,200.00 ",SPECIAL PARTNERSHIP TRUST,367681,0,Devon Special School Heads,A53040,Contributions to Educational Estabs (3rd,R0041003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/07/2026,22095852," 1,295.60 ",SPECIAL PARTNERSHIP TRUST,367681,0,Devon Special School Heads,A53040,Contributions to Educational Estabs (3rd,R0041003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,08/07/2026,22096425, 608.16 ,PROSPERO RECRUITMENT LIMITED,352539,486704947,AP Other Provision,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/07/2026,22096523," 5,359.45 ",School Transition Limited,604854,0,Safety Valve Management,A44065,Consultancy Services,R0680004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,08/07/2026,22096846," 1,824.48 ",PROSPERO RECRUITMENT LIMITED,352539,486704947,AP Other Provision,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,07/07/2026,22097187, 599.00 ,LOCAL GOVERNMENT ASSOCIATION,308865,676078107,Members Allowances,A46050,Conference Expenses,R0290001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
